"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Jan-2022","EQ","801.10","808.75","788.00","804.45","805.00","801.65","796.08","1,138.00","562.50",365261,"290,777,551.05",11405
"05-Jan-2022","EQ","815.00","821.50","800.00","813.85","802.25","804.45","810.36","1,138.00","562.50",463400,"375,521,079.60",13936
"04-Jan-2022","EQ","818.00","834.95","809.00","815.30","812.05","813.85","820.11","1,138.00","562.50",639670,"524,598,742.05",21064
"03-Jan-2022","EQ","817.00","828.60","809.40","817.05","813.95","815.30","819.42","1,138.00","562.50",677742,"555,357,409.70",16928
"31-Dec-2021","EQ","796.40","833.00","795.00","792.70","810.00","817.05","814.19","1,138.00","562.50",800340,"651,630,580.20",23601
"30-Dec-2021","EQ","802.75","807.00","787.65","800.65","790.90","792.70","797.02","1,138.00","562.50",363315,"289,569,310.55",9690
"29-Dec-2021","EQ","820.00","823.65","791.10","817.90","795.00","800.65","811.47","1,138.00","562.50",355847,"288,757,784.90",11444
"28-Dec-2021","EQ","804.65","823.50","803.55","796.70","816.70","817.90","815.74","1,138.00","562.50",596653,"486,715,759.55",20086
"27-Dec-2021","EQ","797.80","807.25","781.00","799.00","805.00","796.70","792.43","1,138.00","562.50",397745,"315,184,082.50",15680
"24-Dec-2021","EQ","823.80","823.80","795.00","820.10","796.00","799.00","805.77","1,138.00","562.50",587286,"473,220,043.75",18331
"23-Dec-2021","EQ","834.60","837.45","814.00","828.80","819.70","820.10","823.24","1,138.00","562.50",624445,"514,071,027.25",19869
"22-Dec-2021","EQ","795.35","836.00","795.35","790.55","832.00","828.80","824.44","1,138.00","562.50",1430292,"1,179,192,817.20",40132
"21-Dec-2021","EQ","770.80","806.75","770.10","760.80","801.00","790.55","790.81","1,138.00","562.50",1076075,"850,968,875.10",35118
"20-Dec-2021","EQ","785.85","785.85","749.35","799.70","762.50","760.80","762.54","1,138.00","562.50",572696,"436,701,365.60",19626
"17-Dec-2021","EQ","813.00","834.75","795.10","811.50","800.00","799.70","808.27","1,138.00","562.50",1099764,"888,910,814.35",31424
"16-Dec-2021","EQ","854.50","856.30","805.00","847.45","813.00","811.50","823.09","1,138.00","562.50",712064,"586,094,097.85",24361
"15-Dec-2021","EQ","874.00","878.90","843.85","872.55","850.00","847.45","855.84","1,138.00","562.50",828624,"709,173,488.00",25001
"14-Dec-2021","EQ","832.00","885.00","825.90","838.40","871.35","872.55","866.76","1,138.00","562.50",2781888,"2,411,216,309.50",75360
"13-Dec-2021","EQ","841.40","869.95","825.05","837.60","836.00","838.40","844.73","1,138.00","562.50",2571130,"2,171,909,533.70",71934
"10-Dec-2021","EQ","830.00","897.40","817.45","842.15","832.95","837.60","859.16","1,138.00","562.50",5935753,"5,099,752,518.70",194336
"09-Dec-2021","EQ","725.00","857.00","725.00","722.85","843.85","842.15","809.23","1,138.00","562.50",8055447,"6,518,677,378.40",235855
"08-Dec-2021","EQ","718.00","738.00","711.05","712.95","722.00","722.85","723.93","1,138.00","562.50",577096,"417,775,179.65",23420
"07-Dec-2021","EQ","719.95","723.40","706.25","714.10","711.00","712.95","713.59","1,138.00","562.50",405371,"289,269,068.40",13577
"06-Dec-2021","EQ","711.90","736.50","702.00","710.75","715.80","714.10","721.73","1,138.00","562.50",836895,"604,016,335.80",35812
"03-Dec-2021","EQ","709.20","718.20","700.00","707.60","710.55","710.75","708.33","1,138.00","562.50",602223,"426,571,276.75",21803
